lat,long
32.03602,34.759712
32.074033,34.765019
32.072994,34.764319
32.072847,34.764388
32.073516,34.766058
32.072605,34.768422
32.045101,34.76971
32.073477,34.768472
32.072994,34.764269
32.072863,34.764322
32.073011,34.764311
32.070944,34.770011
32.035437,34.756965
32.034273,34.762458
32.032527,34.761772
32.035437,34.763145
32.034855,34.761085
32.064011,34.775002
32.067355,34.777861
32.065336,34.776902
32.065266,34.776855
32.067075,34.771338
32.06603,34.7773
32.065238,34.785969
32.067805,34.777897
32.068713,34.76995
32.064138,34.774547
32.06593,34.783033
32.031945,34.766235
32.034855,34.763488
32.035437,34.762802
32.035437,34.766235
32.031945,34.769668
32.038348,34.767608
32.069161,34.770091
